Rank	Rank Rep1	Rank Rep2	Rank Rep3	id	Lead gene name	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Q-value	Ratio H/L count M1_F1	Ratio H/L count M1_F2	Ratio H/L count M1_F3	Ratio H/L count M2_F1	Ratio H/L count M2_F2	Ratio H/L count M2_F3	Ratio H/L count M3_F1	Ratio H/L count M3_F2	Ratio H/L count M3_F3	Min Ratio count	LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3	Delta 1_1	Delta 1_2	Delta 1_3	Delta 2_1	Delta 2_2	Delta 2_3	Delta 3_1	Delta 3_2	Delta 3_3	Abs Dist 1	Abs Dist 2	Abs Dist 3	Abs Dist total	Median abs dist replicates	Max dist	Rob sum abs dist (minus max dist)	Chosen Distance	Total Ratio count	Percentile	Sum lower two reps			LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3				Add abundance filter	id	Gene names	Delta F3	Passes filter?	Correlation 1 vs 2	Correlation 1 vs 3	Correlation 2 vs 3	Min correl	Correlation with query	distance correl	Rank propduct three neighbourhoods	Rank three neigbourhoods	Rand
2645	1246	2397	3135	4281	AACS	Q86V21;Q86V21-2;Q86V21-3	Q86V21;Q86V21-2	Acetoacetyl-CoA synthetase	AACS	sp|Q86V21|AACS_HUMAN Acetoacetyl-CoA synthetase OS=Homo sapiens OX=9606 GN=AACS PE=1 SV=1;sp|Q86V21-2|AACS_HUMAN Isoform 2 of Acetoacetyl-CoA synthetase OS=Homo sapiens OX=9606 GN=AACS	0	3	3	3	3	3	3	3	2	3	2	-0.049908204	-0.237170587	-0.315793755	-0.068839286	-0.465856401	-0.109448705	-0.202191042	-0.964995187	0.000606302	0.406625259	0.740568696	1.070439032	0.540062459	0.867507629	1.237184103	0.79806792	1.425675766	1.500240744	2.217632987	2.644754191	3.72398443	8.586371608	2.644754191	1.500240744	7.086130864	8.586371608	26	0.15	4.862387178	Query	cd63	0.356717055	0.503398109	-1.386232786	0.471223173	0.401651228	-1.346632808	0.595876879	0.460680578	-1.499634442					4281	AACS	0.048	1	0.319075382	0.03116672	0.957213465	0.03116672	-0.321466169	1.321466169	9363185370	2364	0.27156542
1331	2543	783	1149	3937	AAGAB	Q6PD74;Q6PD74-2	Q6PD74	Alpha- and gamma-adaptin-binding protein p34	AAGAB	sp|Q6PD74|AAGAB_HUMAN Alpha- and gamma-adaptin-binding protein p34 OS=Homo sapiens OX=9606 GN=AAGAB PE=1 SV=1	0.00019833	1	2	3	2	2	2	1	1	2	1	-0.058921156	-0.23526398	0.28423325	0.094468368	0.142846913	-0.264301743	0.182033367	1.415336262	-0.596989469	0.415638211	0.738662088	1.670466036	0.376754805	0.258804315	1.082331065	0.413843512	0.954655684	0.902644973	2.824766336	1.717890185	2.271144168	6.813800688	2.271144168	1.670466036	5.143334652	6.813800688	16	0.04	3.989034352			18	19	20	21	22	23	24	25	26					3937	AAGAB	0.246	1	-0.973364254	-0.951440983	0.855523995	-0.973364254	0.409857378	0.590142622	2287853182	1385	0.541623455
1774	1878	1945	1493	3458	AAK1	Q2M2I8-2;Q2M2I8	Q2M2I8-2;Q2M2I8	AP2-associated protein kinase 1	AAK1	sp|Q2M2I8-2|AAK1_HUMAN Isoform 2 of AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1;sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	0	10	13	9	11	7	8	12	9	7	7	-0.066724489	-0.043810236	0.113301151	-0.194605048	0.07109591	0.07414284	0.142906567	0.045033094	0.109915351	0.423441544	0.547208345	1.499533938	0.665828221	0.330555318	1.420775648	0.452970312	0.415647484	1.609549793	2.470183827	2.417159187	2.478167588	7.365510602	2.470183827	1.609549793	5.755960809	7.365510602	86	0.66	4.887343013																3458	AAK1	-0.026	1	0.60570871	0.068712765	-0.752185932	-0.752185932	-0.468403958	1.468403958	5453496030	1921	0.129618093
724	570	467	1348	6356	AAMDC	Q9H7C9;Q9H7C9-3;Q9H7C9-2	Q9H7C9;Q9H7C9-3;Q9H7C9-2	Mth938 domain-containing protein	AAMDC	sp|Q9H7C9|AAMDC_HUMAN Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1;sp|Q9H7C9-3|AAMDC_HUMAN Isoform 3 of Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC;sp|Q9H7C9-2|AAMDC_HUMAN Isoform 2 of Mth938 domain-cont	0	1	2	5	1	2	3	1	1	4	1	0.226897701	-0.209087836	-0.344860022	0.554823965	-0.590770271	-0.990604033	0.013170184	-0.325138716	-0.476640201	0.129819355	0.712485945	1.041372764	0.083600792	0.992421499	0.356028775	0.582706695	0.785819294	1.022994241	1.883678064	1.432051066	2.39152023	5.70724936	1.883678064	1.041372764	4.665876596	5.70724936	20	0.08	3.31572913																6356	AAMDC	-0.019	1	0.999743981	0.996989957	0.998488984	0.996989957	0.5925145	0.4074855	358824120.3	704	0.316786762
2554	2569	2427	2377	3031	AAMP	Q13685	Q13685	Angio-associated migratory cell protein	AAMP	sp|Q13685|AAMP_HUMAN Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2	0	9	9	13	6	10	6	8	13	7	6	-0.26025749	-0.283522683	0.053060271	-0.158175213	0.207356156	0.493551035	-0.120621248	-0.083203359	0.134707567	0.616974546	0.786920792	1.439293057	0.629398386	0.194295072	1.840183843	0.716498127	0.543883937	1.634342009	2.843188395	2.6638773	2.894724073	8.401789768	2.843188395	1.840183843	6.561605925	8.401789768	81	0.63	5.507065695			1	2	3	4	5	6	7	8	9	10	11			3031	AAMP	-0.064	1	0.792626998	0.980456624	0.897087297	0.792626998	-0.678658264	1.678658264	14820507052	2697	0.796069711
1973	1004	2591	1927	7441	AAR2	Q9Y312	Q9Y312	Protein AAR2 homolog	AAR2	sp|Q9Y312|AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens OX=9606 GN=AAR2 PE=1 SV=2	0	2	2	2	2	2	1	2	4	1	1	-0.615748788	-0.369687593	-1.120341446	0.29613951	-0.481336132	0.375787454	-0.187560809	0.477145016	0.386868535	0.972465843	0.873085702	0.26589134	0.175083663	0.88298736	1.722420262	0.783437688	0.016464437	1.886502977	2.111442886	2.780491285	2.686405102	7.578339272	2.686405102	1.886502977	5.691836295	7.578339272	18	0.05	4.797847987																7441	AAR2	-0.372	1	-0.804664629	-0.070700872	-0.535353335	-0.804664629	-0.01988526	1.01988526	5012828428	1850	0.094219541
1200	1289	1185	1281	2047	AARS	P49588;P49588-2	P49588;P49588-2	"Alanine--tRNA ligase, cytoplasmic"	AARS	"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS PE=1 SV=2;sp|P49588-2|SYAC_HUMAN Isoform 2 of Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS"	0	46	46	45	56	37	55	44	34	43	34	-0.02655563	-0.173719098	-0.210068675	0.082331371	0.04421129	-0.06671367	0.098532594	0.190192888	0.081063326	0.383272685	0.677117206	1.176164112	0.388891802	0.357439938	1.279919138	0.497344285	0.270487691	1.580697768	2.236554003	2.026250878	2.348529744	6.611334625	2.236554003	1.580697768	5.030636857	6.611334625	406	0.97	4.262804881			19	20	21	22	23	24	25	26	27					2047	AARS	-0.011	1	0.819454642	-0.184818681	0.411819752	-0.184818681	0.369258513	0.630741487	1956682666	1304	0.696379998
1430	1178	1956	1241	5893	AARSD1	Q9BTE6;Q9BTE6-2;Q9BTE6-3	Q9BTE6;Q9BTE6-2;Q9BTE6-3	Alanyl-tRNA editing protein Aarsd1	AARSD1	sp|Q9BTE6|AASD1_HUMAN Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2;sp|Q9BTE6-2|AASD1_HUMAN Isoform 2 of Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1;sp|Q9BTE6-3|AASD1_HUMAN Isoform 3 of Alanyl-tRNA 	0	4	4	3	3	8	4	3	5	4	3	0.277899231	0.156814224	0.378050798	0.10559275	-0.009245578	0.297122702	-0.085684399	0.181647502	-0.131109778	0.078817824	0.346583885	1.764283584	0.365630423	0.410896806	1.64375551	0.681561278	0.279033077	1.368524664	2.189685293	2.420282738	2.329119019	6.93908705	2.329119019	1.764283584	5.174803466	6.93908705	38	0.29	4.518804312																5893	AARSD1	0.043	1	0.980441085	-0.944668433	-0.861631878	-0.944668433	-0.212961302	1.212961302	2859472489	1502	0.920329784
1454	1452	1257	1724	6627	AASDHPPT	Q9NRN7;Q9NRN7-2	Q9NRN7	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2	0	6	9	6	8	8	6	7	6	7	6	0.001701907	0.018241152	0.08147715	-0.014766666	-0.018693261	-0.183660027	-0.148153427	-0.040391361	-0.149489726	0.355015149	0.485156957	1.467709937	0.485989839	0.420344489	1.162972781	0.744030306	0.50107194	1.350144716	2.307882042	2.069307109	2.595246961	6.972436113	2.307882042	1.467709937	5.504726176	6.972436113	63	0.53	4.377189152																6627	AASDHPPT	-0.128	1	-0.984318725	-0.330257276	0.491579952	-0.984318725	0.258124026	0.741875974	3146582737	1553	0.967283666
915	1237	759	1023	1760	ABCC1	P33527;P33527-9;P33527-3;P33527-2;P33527-5;O15438;O15438-4	P33527;P33527-9;P33527-3;P33527-2;P33527-5	Multidrug resistance-associated protein 1	ABCC1	sp|P33527|MRP1_HUMAN Multidrug resistance-associated protein 1 OS=Homo sapiens OX=9606 GN=ABCC1 PE=1 SV=3;sp|P33527-9|MRP1_HUMAN Isoform 9 of Multidrug resistance-associated protein 1 OS=Homo sapiens OX=9606 GN=ABCC1;sp|P33527-3|MRP1_HUMAN Isoform 3 of Mul	0	74	80	83	67	85	94	70	89	82	67	0.600896197	-0.157297934	-0.078345048	0.505882641	-0.152410284	-0.237087356	0.393766852	-0.281040457	-0.279256282	0.244179142	0.660696043	1.307887738	0.034659468	0.554061512	1.109545452	0.202110026	0.741721035	1.22037816	2.212762923	1.698266432	2.164209221	6.075238576	2.164209221	1.307887738	4.767350837	6.075238576	724	0.99	3.862475653																1760	ABCC1	0.196	1	0.980237841	0.99571968	0.994325795	0.980237841	0.487103989	0.512896011	960477309.3	1026	0.251785032
