Obs ID (Primary)	Obs ID ($ClassID)	Obs ID (Lead gene name)	Obs ID (Protein names)	Obs ID (Gene names)	Obs ID (Fasta headers)	Obs ID (Obs. Sec. ID:5)	Obs ID (Annotation Organelles)	Obs ID (Min Ratio count)	Class	M1.t[1]	M1.t[2]
1259		ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADM	sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;sp|P11310-2|ACADM_HUMAN Isoform 2 of Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM	1	Mitochondrion	1	---	-5.11448	1.39635
1240		HSPD1	60 kDa heat shock protein, mitochondrial	HSPD1	sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1	Mitochondrion	24	---	-9.47763	-0.497495
1250		PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	PDHB	sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3;sp|P11177-2|ODPB_HUMAN Isoform 2 of Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PD	1	Mitochondrion	1	---	-6.11464	0.741852
1588		ATP5A1	ATP synthase subunit alpha, mitochondrial	ATP5A1	sp|P25705|ATPA_HUMAN ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1;sp|P25705-2|ATPA_HUMAN Isoform 2 of ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A;sp|P25705-3|ATPA_HUMAN Isoform 3 of	1	Mitochondrion	16	---	-8.50821	-0.305904
1082		ATP5B	ATP synthase subunit beta, mitochondrial	ATP5B	sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3	1	Mitochondrion	14	---	-8.32058	-0.0853628
2621		SLC25A3	Phosphate carrier protein, mitochondrial	SLC25A3	sp|Q00325-2|MPCP_HUMAN Isoform B of Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3;sp|Q00325|MPCP_HUMAN Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2	1	Mitochondrion	3	---	-6.14772	0.382101
1942		VDAC2	Voltage-dependent anion-selective channel protein 2	VDAC2	sp|P45880|VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2;sp|P45880-2|VDAC2_HUMAN Isoform 2 of Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2;sp|P45880-1|VDAC2	1	Mitochondrion	5	---	-6.11235	0.689924
989		GOT2	Aspartate aminotransferase, mitochondrial	GOT2	sp|P00505|AATM_HUMAN Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3;sp|P00505-2|AATM_HUMAN Isoform 2 of Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2	1	Mitochondrion	3	---	-7.29068	-1.13139
761		ATP5H	ATP synthase subunit d, mitochondrial	ATP5H	sp|O75947|ATP5H_HUMAN ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=3;sp|O75947-2|ATP5H_HUMAN Isoform 2 of ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD	1	Mitochondrion	1	---	-3.78961	0.271866
1278		SLC25A6	ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed	SLC25A6	sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4	1	Mitochondrion	3	---	-7.34882	-0.31602
